supplier_id,timestamp,event_type,distance_km,load_kg,vehicle_type,fuel_type,speed,energy_kwh,furnace_usage,cooling_load,shift_hours,temperature,refrigeration_load,inventory_volume
GreenTech_Industries,2025-11-30 06:00:00,logistics,155,620,truck_diesel,diesel,58,,,,,,,
GreenTech_Industries,2025-11-30 06:30:00,logistics,168,650,truck_diesel,diesel,55,,,,,,,
GreenTech_Industries,2025-11-30 07:00:00,logistics,145,600,truck_diesel,diesel,62,,,,,,,
GreenTech_Industries,2025-11-30 07:30:00,logistics,172,680,truck_diesel,diesel,52,,,,,,,
GreenTech_Industries,2025-11-30 08:00:00,logistics,160,640,truck_diesel,diesel,60,,,,,,,
GreenTech_Industries,2025-11-30 08:30:00,logistics,150,610,van_diesel,diesel,65,,,,,,,
GreenTech_Industries,2025-11-30 09:00:00,logistics,165,660,truck_diesel,diesel,56,,,,,,,
GreenTech_Industries,2025-11-30 09:30:00,logistics,178,690,truck_diesel,diesel,50,,,,,,,
GreenTech_Industries,2025-11-30 10:00:00,logistics,158,630,truck_diesel,diesel,59,,,,,,,
GreenTech_Industries,2025-11-30 10:30:00,logistics,170,670,truck_diesel,diesel,54,,,,,,,
GreenTech_Industries,2025-11-30 11:00:00,logistics,162,645,truck_diesel,diesel,57,,,,,,,
GreenTech_Industries,2025-11-30 11:30:00,logistics,175,685,truck_diesel,diesel,51,,,,,,,
GreenTech_Industries,2025-11-30 12:00:00,logistics,148,605,van_diesel,diesel,68,,,,,,,
GreenTech_Industries,2025-11-30 12:30:00,logistics,180,700,truck_diesel,diesel,48,,,,,,,
GreenTech_Industries,2025-11-30 13:00:00,logistics,152,615,truck_diesel,diesel,63,,,,,,,
GreenTech_Industries,2025-11-30 06:00:00,factory,,,,,,520,88,145,10,,,
GreenTech_Industries,2025-11-30 08:00:00,factory,,,,,,545,92,155,10,,,
GreenTech_Industries,2025-11-30 10:00:00,factory,,,,,,530,90,150,10,,,
GreenTech_Industries,2025-11-30 12:00:00,factory,,,,,,540,91,152,10,,,
GreenTech_Industries,2025-11-30 14:00:00,factory,,,,,,525,89,148,10,,,
GreenTech_Industries,2025-11-30 16:00:00,factory,,,,,,535,90,151,10,,,
GreenTech_Industries,2025-11-30 18:00:00,factory,,,,,,550,93,156,10,,,
GreenTech_Industries,2025-11-30 20:00:00,factory,,,,,,528,89,149,10,,,
GreenTech_Industries,2025-11-30 22:00:00,factory,,,,,,542,91,153,10,,,
GreenTech_Industries,2025-11-30 06:00:00,warehouse,,,,,,,,,,,25,58
GreenTech_Industries,2025-11-30 09:00:00,warehouse,,,,,,,,,,,26,62
GreenTech_Industries,2025-11-30 12:00:00,warehouse,,,,,,,,,,,24,60
GreenTech_Industries,2025-11-30 15:00:00,warehouse,,,,,,,,,,,25,61
GreenTech_Industries,2025-11-30 18:00:00,warehouse,,,,,,,,,,,27,64
GreenTech_Industries,2025-11-30 21:00:00,warehouse,,,,,,,,,,,26,59
GreenTech_Industries,2025-11-30 23:00:00,warehouse,,,,,,,,,,,24,57
