supplier_id,timestamp,event_type,distance_km,load_kg,vehicle_type,fuel_type,speed,energy_kwh,furnace_usage,cooling_load,shift_hours,temperature,refrigeration_load,inventory_volume
GreenTech_Industries,2025-11-30 06:00:00,logistics,48,295,van_diesel,diesel,76,,,,,,,
GreenTech_Industries,2025-11-30 06:30:00,logistics,42,275,van_diesel,diesel,79,,,,,,,
GreenTech_Industries,2025-11-30 07:00:00,logistics,52,310,van_diesel,diesel,74,,,,,,,
GreenTech_Industries,2025-11-30 07:30:00,logistics,38,265,van_diesel,diesel,81,,,,,,,
GreenTech_Industries,2025-11-30 08:00:00,logistics,50,300,van_diesel,diesel,77,,,,,,,
GreenTech_Industries,2025-11-30 08:30:00,logistics,44,285,van_diesel,diesel,78,,,,,,,
GreenTech_Industries,2025-11-30 09:00:00,logistics,55,320,van_diesel,diesel,73,,,,,,,
GreenTech_Industries,2025-11-30 09:30:00,logistics,40,270,van_diesel,diesel,80,,,,,,,
EcoSupply_Corp,2025-11-30 06:00:00,logistics,35,220,van_diesel,diesel,82,,,,,,,
EcoSupply_Corp,2025-11-30 07:00:00,logistics,40,240,van_diesel,diesel,80,,,,,,,
EcoSupply_Corp,2025-11-30 08:00:00,logistics,32,210,van_diesel,diesel,84,,,,,,,
EcoSupply_Corp,2025-11-30 09:00:00,logistics,38,230,van_diesel,diesel,81,,,,,,,
SustainableGoods_Ltd,2025-11-30 06:00:00,logistics,28,180,van_diesel,diesel,86,,,,,,,
SustainableGoods_Ltd,2025-11-30 07:30:00,logistics,32,200,van_diesel,diesel,84,,,,,,,
SustainableGoods_Ltd,2025-11-30 09:00:00,logistics,30,190,van_diesel,diesel,85,,,,,,,
GreenTech_Industries,2025-11-30 06:00:00,factory,,,,,,185,36,56,8,,,
GreenTech_Industries,2025-11-30 08:00:00,factory,,,,,,192,38,59,8,,,
GreenTech_Industries,2025-11-30 10:00:00,factory,,,,,,188,37,57,8,,,
GreenTech_Industries,2025-11-30 12:00:00,factory,,,,,,195,39,60,8,,,
GreenTech_Industries,2025-11-30 14:00:00,factory,,,,,,190,38,58,8,,,
GreenTech_Industries,2025-11-30 16:00:00,factory,,,,,,196,39,61,8,,,
GreenTech_Industries,2025-11-30 18:00:00,factory,,,,,,189,37,58,8,,,
EcoSupply_Corp,2025-11-30 07:00:00,factory,,,,,,165,30,48,8,,,
EcoSupply_Corp,2025-11-30 13:00:00,factory,,,,,,170,31,49,8,,,
EcoSupply_Corp,2025-11-30 19:00:00,factory,,,,,,168,31,48,8,,,
SustainableGoods_Ltd,2025-11-30 08:00:00,factory,,,,,,135,24,38,8,,,
SustainableGoods_Ltd,2025-11-30 16:00:00,factory,,,,,,140,25,40,8,,,
GreenTech_Industries,2025-11-30 06:00:00,warehouse,,,,,,,,,,19,26,4100
GreenTech_Industries,2025-11-30 09:00:00,warehouse,,,,,,,,,,18,24,4050
GreenTech_Industries,2025-11-30 12:00:00,warehouse,,,,,,,,,,20,27,4180
GreenTech_Industries,2025-11-30 15:00:00,warehouse,,,,,,,,,,19,25,4120
GreenTech_Industries,2025-11-30 18:00:00,warehouse,,,,,,,,,,21,28,4220
GreenTech_Industries,2025-11-30 21:00:00,warehouse,,,,,,,,,,18,23,4080
EcoSupply_Corp,2025-11-30 08:00:00,warehouse,,,,,,,,,,18,22,3600
EcoSupply_Corp,2025-11-30 16:00:00,warehouse,,,,,,,,,,19,24,3720
SustainableGoods_Ltd,2025-11-30 10:00:00,warehouse,,,,,,,,,,17,18,2900
SustainableGoods_Ltd,2025-11-30 18:00:00,warehouse,,,,,,,,,,18,20,3050
