event_type,supplier_id,timestamp,distance_km,load_kg,speed,energy_kwh,furnace_usage,cooling_load,shift_hours,temperature,refrigeration_load,inventory_volume,product_id,quantity
logistics,EcoTech_Solutions,2024-01-15T08:00:00Z,120,800,65,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T09:30:00Z,85,600,70,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T10:30:00Z,95,680,68,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T11:45:00Z,110,750,66,,,,,,,,,
factory,EcoTech_Solutions,2024-01-15T10:00:00Z,,,,,450,75,180,8,,,,
factory,EcoTech_Solutions,2024-01-15T11:00:00Z,,,,,440,73,175,8,,,,
factory,EcoTech_Solutions,2024-01-15T12:00:00Z,,,,,455,76,182,8,,,,
factory,EcoTech_Solutions,2024-01-15T13:00:00Z,,,,,445,74,178,8,,,,
warehouse,EcoTech_Solutions,2024-01-15T11:00:00Z,,,,,280,,,,-5,120,5000,,
warehouse,EcoTech_Solutions,2024-01-15T12:30:00Z,,,,,275,,,,-5,118,4900,,
warehouse,EcoTech_Solutions,2024-01-15T14:00:00Z,,,,,285,,,,-4,122,5100,,
warehouse,EcoTech_Solutions,2024-01-15T15:30:00Z,,,,,278,,,,-5,119,4950,,
logistics,EcoTech_Solutions,2024-01-15T13:00:00Z,100,720,69,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T14:15:00Z,90,650,71,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T15:30:00Z,105,700,67,,,,,,,,,
logistics,EcoTech_Solutions,2024-01-15T16:45:00Z,115,780,65,,,,,,,,,
factory,EcoTech_Solutions,2024-01-15T14:00:00Z,,,,,448,75,179,8,,,,
factory,EcoTech_Solutions,2024-01-15T15:00:00Z,,,,,442,74,176,8,,,,
warehouse,EcoTech_Solutions,2024-01-15T16:30:00Z,,,,,282,,,,-5,121,5020,,
warehouse,EcoTech_Solutions,2024-01-15T17:00:00Z,,,,,276,,,,-5,119,4980,,
