event_type,supplier_id,timestamp,distance_km,load_kg,speed,energy_kwh,furnace_usage,cooling_load,shift_hours,temperature,refrigeration_load,inventory_volume,product_id,quantity
logistics,GreenTech_Industries,2024-01-16T08:00:00Z,250,1500,55,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T09:00:00Z,280,1600,52,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T10:00:00Z,300,1700,50,,,,,,,,,
factory,GreenTech_Industries,2024-01-16T08:30:00Z,,,,,850,95,380,12,,,,
factory,GreenTech_Industries,2024-01-16T09:30:00Z,,,,,920,98,420,12,,,,
factory,GreenTech_Industries,2024-01-16T10:30:00Z,,,,,880,96,400,12,,,,
factory,GreenTech_Industries,2024-01-16T11:30:00Z,,,,,900,97,410,12,,,,
warehouse,GreenTech_Industries,2024-01-16T12:00:00Z,,,,,650,,,,-2,280,12000,,
warehouse,GreenTech_Industries,2024-01-16T13:00:00Z,,,,,680,,,,-1,300,13000,,
warehouse,GreenTech_Industries,2024-01-16T14:00:00Z,,,,,670,,,,-2,290,12500,,
logistics,GreenTech_Industries,2024-01-16T11:00:00Z,320,1800,48,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T12:00:00Z,290,1650,51,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T13:00:00Z,310,1750,49,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T14:00:00Z,270,1550,53,,,,,,,,,
factory,GreenTech_Industries,2024-01-16T12:30:00Z,,,,,890,95,390,12,,,,
factory,GreenTech_Industries,2024-01-16T13:30:00Z,,,,,910,96,405,12,,,,
warehouse,GreenTech_Industries,2024-01-16T15:00:00Z,,,,,660,,,,-3,285,12200,,
logistics,GreenTech_Industries,2024-01-16T15:00:00Z,260,1500,54,,,,,,,,,
logistics,GreenTech_Industries,2024-01-16T16:00:00Z,275,1580,52,,,,,,,,,
factory,GreenTech_Industries,2024-01-16T14:30:00Z,,,,,870,94,385,12,,,,
