event_type,supplier_id,timestamp,distance_km,load_kg,speed,energy_kwh,furnace_usage,cooling_load,shift_hours,temperature,refrigeration_load,inventory_volume,product_id,quantity
logistics,GreenTech_Industries,2024-01-17T08:00:00Z,140,900,68,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T09:00:00Z,130,850,70,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T10:00:00Z,125,820,71,,,,,,,,,
factory,GreenTech_Industries,2024-01-17T08:30:00Z,,,,,480,76,190,8,,,,
factory,GreenTech_Industries,2024-01-17T09:30:00Z,,,,,460,74,180,8,,,,
factory,GreenTech_Industries,2024-01-17T10:30:00Z,,,,,450,72,175,8,,,,
factory,GreenTech_Industries,2024-01-17T11:30:00Z,,,,,440,70,170,8,,,,
warehouse,GreenTech_Industries,2024-01-17T12:00:00Z,,,,,310,,,,-4,135,5800,,
warehouse,GreenTech_Industries,2024-01-17T13:00:00Z,,,,,300,,,,-5,130,5600,,
warehouse,GreenTech_Industries,2024-01-17T14:00:00Z,,,,,295,,,,-5,128,5500,,
logistics,GreenTech_Industries,2024-01-17T11:00:00Z,120,800,72,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T12:00:00Z,115,780,73,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T13:00:00Z,110,760,74,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T14:00:00Z,105,740,75,,,,,,,,,
factory,GreenTech_Industries,2024-01-17T12:30:00Z,,,,,435,69,168,8,,,,
factory,GreenTech_Industries,2024-01-17T13:30:00Z,,,,,430,68,165,8,,,,
warehouse,GreenTech_Industries,2024-01-17T15:00:00Z,,,,,290,,,,-5,126,5400,,
logistics,GreenTech_Industries,2024-01-17T15:00:00Z,100,720,76,,,,,,,,,
logistics,GreenTech_Industries,2024-01-17T16:00:00Z,95,700,77,,,,,,,,,
factory,GreenTech_Industries,2024-01-17T14:30:00Z,,,,,425,67,162,8,,,,
